,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,LTV,Status,dtir1,loan_to_income,loan_to_collateral,interest_burden,total_cost_proxy,risk_score
16,cf,Joint,nopre,type2,p1,l1,b/c,356500,3.99,0.95605,2691.13,360.0,neg_amm,not_int,not_lpsm,368000.0,sb,pr,home,1U,5340.0,CRIF,846,96.875,1,44.0,66.748,0.969,1422435.0,1425126.13,-70.0
17,cf,Male,pre,type1,p3,l1,nob/c,156500,3.99,0.327,2691.13,360.0,neg_amm,not_int,not_lpsm,168000.0,sb,pr,home,1U,3120.0,CRIF,534,93.1547619,1,44.0,50.144,0.932,624435.0,627126.13,117.19999999999999
18,cf,Female,nopre,type1,p1,l1,nob/c,406500,4.56,0.458,895.0,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,5340.0,CIB,629,67.97658863,0,44.0,76.109,0.68,1853639.9999999998,1854534.9999999998,60.2
19,cf,Sex Not Available,nopre,type1,p4,l1,nob/c,586500,3.175,-0.3446,650.0,360.0,not_neg,not_int,not_lpsm,748000.0,sb,sr,home,1U,12540.0,CIB,688,78.40909091,0,31.0,46.767,0.784,1862137.5,1862787.5,19.6
20,cf,Joint,nopre,type1,p3,l1,nob/c,306500,2.99,0.2837,10470.0,180.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,16860.0,EXP,668,54.92831541,0,6.0,18.178,0.549,916435.0000000001,926905.0000000001,21.6
21,cf,Female,nopre,type1,p3,l1,nob/c,136500,3.99,0.4819,4156.25,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,2100.0,EXP,758,68.93939394,0,36.0,64.969,0.689,544635.0,548791.25,-20.4
22,cf,Male,pre,type1,p3,l1,nob/c,306500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,2880.0,EXP,692,68.41517857,1,44.0,106.387,0.684,1222935.0,1225626.13,22.400000000000002
23,cf,Female,nopre,type1,p3,l1,nob/c,316500,3.625,0.0454,6661.88,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,2760.0,CIB,620,62.30314961,0,44.0,114.632,0.623,1147312.5,1153974.38,65.6
24,cf,Male,nopre,type1,p3,l2,nob/c,336500,4.5,0.0759,0.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,4980.0,CIB,846,78.62149533,0,35.0,67.557,0.786,1514250.0,1514250.0,-73.6
25,cf,Joint,nopre,type1,p3,l1,nob/c,426500,4.99,1.2706,169.5,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,8940.0,EXP,533,75.08802817,0,34.0,47.702,0.751,2128235.0,2128404.5,113.80000000000001
26,cf,Joint,nopre,type3,p1,l1,nob/c,476500,3.99,-0.1162,2691.13,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,6780.0,EQUI,518,75.29761905,1,40.0,70.27,1.14,1901235.0,1903926.13,125.2
27,cf,Sex Not Available,nopre,type1,p4,l1,nob/c,196500,5.25,1.2158,5245.09,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3840.0,EXP,812,76.1627907,0,49.0,51.159,0.762,1031625.0,1036870.09,-47.6
28,cf,Female,nopre,type1,p1,l1,nob/c,186500,4.25,1.0186,5376.25,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,3840.0,CRIF,534,85.55045872,0,46.0,48.555,0.856,792625.0,798001.25,118.0
29,cf,Female,nopre,type1,p1,l1,nob/c,436500,3.625,0.266,6260.0,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,4920.0,CIB,647,93.26923077,0,42.0,88.701,0.933,1582312.5,1588572.5,48.599999999999994
30,cf,Male,nopre,type2,p1,l1,b/c,246500,4.25,1.4614,0.0,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5400.0,EXP,683,95.54263566,0,39.0,45.64,0.955,1047625.0,1047625.0,25.8
31,cf,Male,nopre,type3,p4,l1,nob/c,216500,2.99,-0.6203,2101.63,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,5640.0,CIB,705,94.95614035,0,40.0,38.38,0.95,647335.0,649436.63,13.0
32,cf,Male,nopre,type1,p1,l1,nob/c,306500,4.125,0.2848,3752.4,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,5580.0,EXP,701,96.3836478,0,37.0,54.918,0.964,1264312.5,1268064.9,14.200000000000001
33,cf,Male,pre,type1,p1,l1,nob/c,316500,3.75,0.1681,5560.63,360.0,not_neg,int_only,not_lpsm,338000.0,sb,pr,home,1U,3720.0,EXP,591,93.63905325,0,41.0,85.058,0.936,1186875.0,1192435.63,81.8
34,cf,Male,pre,type1,p1,l1,nob/c,506500,4.25,0.147,0.0,360.0,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1U,7500.0,CIB,647,94.14498141,0,36.0,67.524,0.941,2152625.0,2152625.0,46.199999999999996
35,cf,Female,nopre,type1,p3,l1,nob/c,266500,4.99,1.3774,2337.4,360.0,not_neg,not_int,not_lpsm,408000.0,sb,pr,home,1U,3540.0,EXP,889,65.31862745,0,40.0,75.261,0.653,1329835.0,1332172.4,-97.39999999999999
36,cf,Male,nopre,type1,p1,l1,nob/c,406500,4.0,0.34,4070.0,360.0,not_neg,not_int,not_lpsm,1018000.0,sb,ir,home,1U,9180.0,EXP,651,39.93123772,0,38.0,44.276,0.399,1626000.0,1630070.0,44.6
37,cf,Joint,nopre,type1,p4,l1,nob/c,656500,3.375,-0.1555,13016.46,360.0,not_neg,not_int,not_lpsm,1108000.0,sb,pr,home,1U,9660.0,EXP,716,59.25090253,0,42.0,67.954,0.593,2215687.5,2228703.96,7.200000000000001
38,ncf,Male,pre,type1,p4,l1,nob/c,256500,3.99,0.327,2691.13,180.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,3780.0,EXP,780,61.36363636,1,45.0,67.839,0.614,1023435.0,1026126.13,-30.0
39,cf,Male,nopre,type1,p4,l1,nob/c,396500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,7560.0,CRIF,799,94.85645933,1,42.0,52.44,0.949,1582035.0,1584726.13,-42.599999999999994
40,cf,Male,nopre,type1,p3,l1,nob/c,396500,4.99,0.6835,5072.5,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,9060.0,EXP,766,75.09469697,0,30.0,43.759,0.751,1978535.0,1983607.5,-27.6
41,cf,Female,pre,type2,p3,l1,b/c,166500,3.99,1.2351,1657.5,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,3480.0,CIB,868,84.09090909,0,56.0,47.831,0.841,664335.0,665992.5,-78.39999999999999
42,cf,Male,nopre,type3,p4,l1,nob/c,466500,3.99,-0.1162,2691.13,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,0.0,EQUI,765,75.29761905,1,40.0,466500.0,1.116,1861335.0,1864026.13,-23.0
43,cf,Male,nopre,type2,p4,l1,b/c,236500,3.99,0.95605,2691.13,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,3120.0,CRIF,673,95.36290323,1,38.0,75.777,0.954,943635.0,946326.13,31.4
44,ncf,Sex Not Available,nopre,type1,p4,l1,nob/c,866500,3.99,0.327,2691.13,360.0,neg_amm,not_int,not_lpsm,1508000.0,sb,pr,home,1U,13620.0,CRIF,876,57.4602122,1,44.0,63.615,0.575,3457335.0,3460026.13,-88.0
45,cf,Joint,nopre,type1,p4,l1,nob/c,416500,3.625,-0.1235,2462.96,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,7380.0,CRIF,886,78.88257576,0,39.0,56.429,0.789,1509812.5,1512275.46,-96.0
46,cf,Sex Not Available,nopre,type2,p3,l1,b/c,436500,3.25,0.4238,12283.66,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,4920.0,CRIF,772,85.92519685,0,38.0,88.701,0.859,1418625.0,1430908.66,-27.999999999999993
47,ncf,Joint,nopre,type1,p3,l1,nob/c,356500,4.125,0.1691,786.33,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,3720.0,CRIF,640,58.63486842,0,49.0,95.808,0.586,1470562.5,1471348.83,55.6
48,cf,Male,nopre,type3,p4,l1,nob/c,386500,2.75,-0.7794,3808.56,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,5640.0,CIB,798,90.30373832,0,40.0,68.516,0.903,1062875.0,1066683.56,-42.8
49,cf,Female,nopre,type1,p1,l1,nob/c,596500,3.875,-0.0231,3375.48,360.0,not_neg,not_int,not_lpsm,668000.0,sb,pr,home,1U,6780.0,CRIF,858,89.29640719,0,39.0,87.966,0.893,2311437.5,2314812.98,-79.19999999999999
50,cf,Sex Not Available,nopre,type1,p3,l1,nob/c,196500,4.125,0.4465,3188.01,312.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,9060.0,CIB,543,58.13609467,0,30.0,21.686,0.581,810562.5,813750.51,106.2
51,cf,Male,nopre,type1,p4,l1,nob/c,206500,2.99,0.245,5882.75,180.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,9600.0,EXP,846,29.16666667,0,23.0,21.508,0.292,617435.0,623317.75,-78.39999999999999
52,cf,Joint,nopre,type3,p3,l1,nob/c,136500,3.99,-0.1162,2691.13,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,3360.0,EQUI,555,75.29761905,1,40.0,40.613,0.327,544635.0,547326.13,103.0
53,ncf,Female,nopre,type1,p3,l1,nob/c,166500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,4560.0,EQUI,603,75.29761905,1,40.0,36.505,0.398,664335.0,667026.13,74.19999999999999
54,cf,Joint,nopre,type1,p1,l1,nob/c,606500,3.625,0.0945,14690.09,360.0,not_neg,not_int,not_lpsm,808000.0,sb,ir,home,1U,22500.0,EXP,808,75.06188119,0,28.0,26.954,0.751,2198562.5,2213252.59,-53.599999999999994
55,cf,Sex Not Available,nopre,type2,p4,l1,b/c,86500,3.99,0.95605,2691.13,360.0,not_neg,not_int,not_lpsm,948000.0,sb,pr,home,1U,3300.0,CIB,519,9.124472574,1,31.0,26.204,0.091,345135.0,347826.13,121.0
56,ncf,Female,nopre,type1,p2,l1,nob/c,116500,3.99,0.327,2691.13,180.0,not_neg,not_int,not_lpsm,128000.0,sb,ir,home,1U,4140.0,CIB,786,91.015625,1,11.0,28.133,0.91,464835.0,467526.13,-47.2
57,cf,Male,pre,type1,p3,l1,nob/c,426500,3.5,0.5271,3854.0,180.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,6000.0,CIB,769,71.32107023,0,42.0,71.071,0.713,1492750.0,1496604.0,-24.599999999999998
58,ncf,Male,pre,type1,p3,l1,nob/c,166500,3.99,0.5893,4044.53,144.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,6600.0,CRIF,685,69.95798319,0,30.0,25.223,0.7,664335.0,668379.53,21.0
59,cf,Sex Not Available,pre,type1,p3,l1,nob/c,426500,3.375,-0.0529,2691.13,180.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,11340.0,CRIF,556,70.14802632,0,27.0,37.607,0.701,1439437.5,1442128.63,97.19999999999999
60,cf,Male,nopre,type1,p4,l1,nob/c,376500,4.5,-0.088,0.0,360.0,neg_amm,not_int,not_lpsm,718000.0,sb,pr,home,1U,7080.0,EXP,567,52.43732591,0,20.0,53.17,0.524,1694250.0,1694250.0,87.8
61,cf,Male,nopre,type2,p1,l1,b/c,286500,3.25,0.4639,0.0,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,4800.0,CIB,632,96.1409396,0,31.0,59.675,0.961,931125.0,931125.0,53.199999999999996
62,cf,Joint,nopre,type1,p4,l1,nob/c,706500,4.125,0.327,0.0,360.0,not_neg,not_int,not_lpsm,888000.0,sb,pr,home,1U,8520.0,CIB,818,79.56081081,0,40.0,82.913,0.796,2914312.5,2914312.5,-54.8
63,cf,Sex Not Available,nopre,type2,p4,l1,b/c,146500,4.75,1.5693,0.0,360.0,not_neg,not_int,not_lpsm,148000.0,sb,pr,home,1U,2760.0,EXP,584,98.98648649,0,55.0,53.06,0.99,695875.0,695875.0,91.6
64,cf,Joint,nopre,type1,p3,l1,nob/c,446500,3.875,0.6514,295.0,240.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,7140.0,EXP,750,71.09872611,0,34.0,62.526,0.711,1730187.5,1730482.5,-16.4
65,cf,Male,nopre,type1,p4,l1,nob/c,286500,3.875,0.2859,1250.0,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,5820.0,EXP,808,47.12171053,0,22.0,49.218,0.471,1110187.5,1111437.5,-56.0
66,cf,Joint,nopre,type3,p3,l1,nob/c,166500,3.99,-0.1162,2691.13,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,2100.0,EQUI,838,75.29761905,1,40.0,79.248,0.398,664335.0,667026.13,-66.8
67,cf,Female,nopre,type2,p4,l1,b/c,636500,3.99,0.95605,2691.13,360.0,not_neg,int_only,not_lpsm,658000.0,sb,pr,home,1U,12000.0,CIB,741,96.7325228,1,36.0,53.037,0.967,2539635.0,2542326.13,-10.199999999999998
68,cf,Female,nopre,type2,p3,l1,b/c,226500,3.625,0.5626,2691.13,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,3720.0,CRIF,820,87.79069767,0,40.0,60.871,0.878,821062.5,823753.63,-56.0
69,cf,Sex Not Available,nopre,type1,p3,l2,nob/c,316500,4.5,0.4649,4771.25,360.0,not_neg,not_int,not_lpsm,928000.0,sb,pr,home,1U,5880.0,CRIF,665,34.10560345,0,24.0,53.817,0.341,1424250.0,1429021.25,30.6
70,cf,Sex Not Available,nopre,type1,p3,l1,nob/c,156500,3.99,0.4597,3000.0,360.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,3300.0,CRIF,783,75.24038462,0,30.0,47.41,0.752,624435.0,627435.0,-37.8
71,cf,Male,nopre,type1,p1,l2,nob/c,706500,4.875,0.6484,1645.03,360.0,not_neg,not_int,not_lpsm,748000.0,sb,pr,home,1U,8400.0,EXP,663,94.45187166,0,46.0,84.097,0.945,3444187.5,3445832.53,40.6
72,cf,Female,nopre,type1,p3,l1,nob/c,196500,4.25,0.7872,5493.02,240.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,5520.0,EXP,612,61.79245283,0,30.0,35.591,0.618,835125.0,840618.02,64.8
73,cf,Male,nopre,type3,p1,l1,nob/c,166500,4.5,0.7084,1680.0,360.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,2040.0,CRIF,739,99.10714286,0,52.0,81.578,0.991,749250.0,750930.0,-2.599999999999998
74,cf,Male,nopre,type1,p4,l1,nob/c,486500,3.875,-0.1583,7305.0,360.0,not_neg,not_int,not_lpsm,1198000.0,sb,pr,home,1U,8580.0,CIB,812,40.60934891,0,33.0,56.695,0.406,1885187.5,1892492.5,-54.0
75,cf,Joint,nopre,type1,p1,l1,nob/c,406500,4.375,0.0301,0.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,10740.0,EXP,571,94.97663551,0,44.0,37.846,0.95,1778437.5,1778437.5,95.0
76,ncf,Sex Not Available,nopre,type1,p4,l1,nob/c,146500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,2400.0,CRIF,870,77.92553191,1,49.0,61.016,0.779,584535.0,587226.13,-82.4
77,cf,Joint,nopre,type1,p1,l1,nob/c,306500,4.875,0.9155,1330.09,360.0,not_neg,not_int,not_lpsm,408000.0,sb,ir,home,1U,12600.0,CRIF,793,75.12254902,0,30.0,24.323,0.751,1494187.5,1495517.59,-43.8
78,cf,Male,nopre,type1,p4,l1,nob/c,266500,3.875,0.5347,6245.0,300.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,5040.0,CRIF,804,89.4295302,0,26.0,52.866,0.894,1032687.5,1038932.5,-52.0
79,cf,Sex Not Available,nopre,type1,p4,l1,nob/c,436500,3.5,0.5636,9323.75,240.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,7860.0,CIB,801,74.23469388,0,40.0,55.527,0.742,1527750.0,1537073.75,-44.599999999999994
80,cf,Male,nopre,type1,p4,l1,nob/c,446500,3.375,-0.1955,0.0,360.0,not_neg,not_int,not_lpsm,1308000.0,sb,pr,home,1U,5700.0,CIB,711,34.13608563,0,47.0,78.32,0.341,1506937.5,1506937.5,12.200000000000001
81,cf,Female,nopre,type2,p1,l1,b/c,216500,3.5,0.8157,0.0,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,2580.0,CIB,673,99.31192661,0,49.0,83.882,0.993,757750.0,757750.0,35.8
82,cf,Sex Not Available,nopre,type1,p1,l1,nob/c,476500,3.99,0.2859,2691.13,360.0,not_neg,int_only,not_lpsm,688000.0,sb,pr,home,1U,15180.0,CIB,634,69.25872093,0,23.0,31.388,0.693,1901235.0,1903926.13,48.800000000000004
83,cf,Male,nopre,type1,p4,l1,nob/c,466500,3.625,0.0903,1790.25,360.0,not_neg,not_int,not_lpsm,658000.0,sb,pr,home,1U,8700.0,CIB,834,70.89665653,0,33.0,53.615,0.709,1691062.5,1692852.75,-67.19999999999999
84,cf,Sex Not Available,nopre,type1,p4,l1,nob/c,326500,3.99,0.327,2691.13,240.0,not_neg,int_only,not_lpsm,418000.0,sb,pr,home,1U,5400.0,EQUI,764,75.29761905,1,40.0,60.452,0.781,1302735.0,1305426.13,-22.4
85,cf,Joint,nopre,type2,p1,l1,b/c,656500,3.99,0.95605,2691.13,360.0,not_neg,not_int,not_lpsm,678000.0,sb,pr,home,1U,8160.0,CRIF,865,96.82890855,1,60.0,80.444,0.968,2619435.0,2622126.13,-75.0
86,cf,Sex Not Available,nopre,type1,p1,l1,nob/c,506500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,808000.0,sb,ir,home,2U,9180.0,EXP,593,62.68564356,1,44.0,55.168,0.627,2020935.0,2023626.13,81.80000000000001
87,cf,Sex Not Available,pre,type3,p4,l1,nob/c,246500,3.75,-0.1094,0.0,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,5640.0,EXP,511,68.8547486,0,40.0,43.698,0.689,924375.0,924375.0,129.39999999999998
88,cf,Joint,pre,type1,p3,l1,nob/c,186500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,5640.0,CRIF,533,64.75694444,1,31.0,33.062,0.648,744135.0,746826.13,112.60000000000001
89,cf,Joint,nopre,type1,p3,l2,nob/c,56500,4.5,0.252,2691.13,360.0,not_neg,int_only,not_lpsm,2008000.0,sb,pr,home,1U,7980.0,EXP,677,2.81374502,0,41.0,7.079,0.028,254250.0,256941.13,30.200000000000003
90,cf,Sex Not Available,nopre,type1,p4,l1,nob/c,486500,4.75,0.2531,4177.19,360.0,not_neg,not_int,not_lpsm,578000.0,sb,sr,home,1U,9840.0,EXP,774,84.16955017,0,44.0,49.436,0.842,2310875.0,2315052.19,-26.799999999999997
91,cf,Joint,nopre,type1,p3,l1,nob/c,346500,3.99,-0.0249,6370.0,360.0,not_neg,not_int,not_lpsm,3408000.0,sb,pr,home,1U,11460.0,EXP,638,10.16725352,0,25.0,30.233,0.102,1382535.0,1388905.0,47.199999999999996
92,cf,Male,pre,type1,p3,l1,nob/c,136500,3.875,0.9787,2940.31,180.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,3660.0,EXP,644,39.22413793,0,44.0,37.285,0.392,528937.5,531877.81,51.2
93,cf,Male,pre,type3,p1,l1,nob/c,586500,3.5,-0.2979,2800.0,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,7140.0,EXP,732,99.74489796,0,49.0,82.131,0.997,2052750.0,2055550.0,0.40000000000000213
94,cf,Female,nopre,type1,p4,l1,nob/c,336500,3.99,0.327,2691.13,360.0,not_neg,not_int,lpsm,418000.0,sb,pr,home,1U,7440.0,EQUI,586,75.29761905,1,40.0,45.222,0.805,1342635.0,1345326.13,84.39999999999999
95,cf,Female,nopre,type2,p3,l1,b/c,76500,4.75,1.3051,1818.9,300.0,neg_amm,not_int,not_lpsm,88000.0,sb,pr,home,1U,2940.0,CIB,642,86.93181818,0,45.0,26.012,0.869,363375.0,365193.9,52.8
96,ncf,Male,pre,type3,p4,l1,nob/c,286500,3.99,-0.1162,2691.13,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,5640.0,EXP,872,111.0465116,1,40.0,50.789,1.11,1143135.0,1145826.13,-87.2
97,cf,Sex Not Available,nopre,type1,p4,l1,nob/c,136500,3.625,0.544,3817.34,180.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,3000.0,EXP,898,65.625,0,45.0,45.485,0.656,494812.5,498629.84,-100.8
98,ncf,Sex Not Available,pre,type1,p1,l1,nob/c,486500,3.99,-0.168,11957.75,360.0,not_neg,not_int,not_lpsm,598000.0,sb,pr,home,1U,14640.0,CIB,734,81.35451505,0,31.0,33.229,0.814,1941135.0,1953092.75,-7.999999999999998
99,cf,Female,nopre,type1,p1,l1,nob/c,416500,3.75,-0.4929,7265.8,360.0,not_neg,int_only,not_lpsm,498000.0,sb,pr,home,1U,3840.0,CIB,639,83.63453815,0,47.0,108.435,0.836,1561875.0,1569140.8,55.400000000000006
100,cf,Male,nopre,type1,p1,l1,nob/c,186500,4.875,0.3555,4950.0,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,2880.0,EXP,506,53.59195402,0,46.0,64.734,0.536,909187.5,914137.5,134.79999999999998
101,cf,Joint,nopre,type1,p4,l1,nob/c,186500,3.99,0.327,2691.13,360.0,not_neg,not_int,not_lpsm,418000.0,sb,pr,home,1U,5700.0,EQUI,664,75.29761905,1,40.0,32.714,0.446,744135.0,746826.13,37.599999999999994
102,cf,Male,nopre,type2,p1,l1,b/c,316500,3.375,0.7659,7628.9,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,7680.0,EXP,670,99.52830189,0,32.0,41.206,0.995,1068187.5,1075816.4,30.8
103,cf,Male,nopre,type2,p4,l1,b/c,346500,3.99,0.95605,2691.13,360.0,not_neg,int_only,not_lpsm,478000.0,sb,pr,home,1U,5640.0,EXP,577,72.48953975,1,40.0,61.425,0.725,1382535.0,1385226.13,89.8
104,cf,Male,nopre,type1,p4,l1,nob/c,326500,3.25,-0.1973,9271.25,348.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,6840.0,EXP,857,74.543379,0,46.0,47.727,0.745,1061125.0,1070396.25,-75.8
